date,state,notes
2020-06-08,RJ,
2020-06-07,RJ,
2020-06-06,RJ,
2020-06-05,RJ,
2020-06-04,RJ,
2020-06-03,RJ,
2020-06-02,RJ,
2020-06-01,RJ,
2020-05-31,RJ,
2020-05-30,RJ,
2020-05-29,RJ,
2020-05-28,RJ,
2020-05-27,RJ,
2020-05-26,RJ,
2020-05-25,RJ,
2020-05-24,RJ,
2020-05-23,RJ,
2020-05-22,RJ,
2020-05-21,RJ,Macuco com menos um caso confirmado do que ontem.
2020-05-20,RJ,
2020-05-19,RJ,
2020-05-18,RJ,
2020-05-17,RJ,
2020-05-16,RJ,
2020-05-15,RJ,
2020-05-14,RJ,
2020-05-13,RJ,
2020-05-12,RJ,
2020-05-11,RJ,
2020-05-10,RJ,
2020-05-09,RJ,
2020-05-08,RJ,
2020-05-07,RJ,
2020-05-06,RJ,
2020-05-05,RJ,
2020-05-04,RJ,
2020-05-03,RJ,
2020-05-02,RJ,
2020-05-01,RJ,
2020-04-30,RJ,
2020-04-29,RJ,
2020-04-28,RJ,Após aviso dados divergentes por conta de termos colocado 0 nos municipios sem caso
2020-04-27,RJ,
2020-04-26,RJ,
2020-04-25,RJ,"Petrópolis tinha 9 mortes ontem, hoje está com somente 8 mortes."
2020-04-24,RJ,
2020-04-23,RJ,
2020-04-22,RJ,OK
2020-04-21,RJ,Total  mortes no boletim está 461 mas totalizei 459
2020-04-20,RJ,"OK (Caso Sumidouro ""reapareceu"")"
2020-04-19,RJ,"importados/indefinidos que estava totalizando 1 hoje veio zerado | Sumidouro ontem tinha 1 caso confirmado, hoje não apareceu no boletim"
2020-04-18,RJ,OK
2020-04-17,RJ,OK
2020-04-16,CE,"https://github.com/luiseduardobr1/covid19-Ceara/blob/master/boletins/integrasus-16_04_2020.pdf e https://github.com/luiseduardobr1/covid19-Ceara/blob/master/integraSUS_Municipios_CE/municipios_2020-04-16_19_11_35.csv / Há uma diferença entre o valor geral e o somatório por municípios, pois o sistema incluiu a cidade do RJ. "
2020-04-16,RJ,
2020-04-15,RJ,OK
2020-04-14,RJ,OK
2020-04-13,RJ,OK
2020-04-12,RJ,OK
2020-04-11,RJ,OK
2020-04-10,RJ,OK
2020-04-09,RJ,OK
2020-04-08,RJ,OK
2020-04-07,RJ,OK
2020-04-06,RJ,"Trajano de Moraes com 0 casos, ontem tinham 1"
2020-04-05,RJ,
2020-04-04,RJ,"Morte de Belford Roxo com erro na contagem (1 morte nova, total de 2 mortes)"
2020-04-03,RJ,"Mesquita tem 0 casos, mas em 02/04 tinha 1 caso"
2020-04-02,RJ,São Gonçalo tem 1 caso a menos que ontem
2020-04-01,RJ,
2020-03-31,RJ,painel não libera totais municipais
2020-03-30,RJ,
2020-03-29,RJ,
2020-03-28,RJ,
2020-03-27,RJ,
2020-03-26,RJ,
2020-03-25,RJ,
2020-03-24,RJ,
2020-03-23,RJ,
2020-03-22,RJ,
2020-03-21,RJ,
2020-03-19,RJ,
2020-03-18,RJ,
2020-03-16,RJ,
2020-03-15,RJ,
2020-03-13,RJ,
2020-03-12,RJ,
2020-03-08,RJ,
2020-03-06,RJ,
2020-03-05,RJ,
